CommentId,VideoId,CommentDate,CommentLikes,Text
UgyG-MMD7mIdoHnbJsR4AaABAg,5vF4si3hoRA,2020-05-28T03:30:00Z,5,it’s what the police car deserved ❤️
UgzMOVC_OOgSDN36qh14AaABAg,5vF4si3hoRA,2020-05-20T06:31:55Z,2,"""In the name and loving memory of Michael Brown, I hereby solemnly loot this 55-inch flat-screen"".

Kinds defeats the purpose & effectiveness of the message, no?"
UgyN3Mx8anwKXhXeOcl4AaABAg,5vF4si3hoRA,2020-05-14T19:56:22Z,0,"i don't feel bad for the reporters gettin hit n stuff. you're trying to make them look like fools and filming them like ""ohh look at these morons how dare they"" like bruh sometimes what we need is a good ol' fashioned riot to get a point across. if y'all ain't listening, we're gonna make you listen. y'all the fools."
Ugy6FLdKZ8FbC2RpDSR4AaABAg,5vF4si3hoRA,2020-05-05T06:20:31Z,0,"Shit these people just don’t learn

The same riots have been happening since nat turner


BUT YALL RACIST BITCH STILL DONT FUCKIN LEARN 


And then y’all wanna act surprised when it happens and act like your the victim and didn’t do anything"
Ugzu33LjqK9Gj9alFSN4AaABAg,5vF4si3hoRA,2020-05-01T00:43:54Z,0,no reason to burn/loot private businesses.
UgxS0Chlsv8A-fY4Bo54AaABAg,5vF4si3hoRA,2020-04-28T23:04:08Z,0,Wisconsin rapids s.o.b
UgzX821JfkL9MxA-vGF4AaABAg,5vF4si3hoRA,2020-04-23T03:21:48Z,0,"Where’s these people at now with the economy shutdown 

Fight and riot for racism and gun control but not one is willing to riot now over the fake corona quarantine shutdown"
UgxJziD6h5yWRCiTA0Z4AaABAg,5vF4si3hoRA,2020-04-15T17:28:21Z,1,WHAT THE BLOODY HELL
UgxZKbMNPWBWiJ9krKB4AaABAg,5vF4si3hoRA,2020-04-14T19:26:27Z,0,What if someone was sleeping in their car :/
UgzVNxUmmTNuj_NcaA94AaABAg,5vF4si3hoRA,2020-04-09T14:51:11Z,0,this insight could make one racist
UgwbHu56vI0vF6zXgzx4AaABAg,5vF4si3hoRA,2020-03-09T07:13:59Z,0,No sympathy for these idiots.
UgxLAkyWXMwKY4rIg894AaABAg,5vF4si3hoRA,2020-02-29T20:30:42Z,0,"Another THUG dead, big deal."
Ugzw2fdmSIlekDMtiXN4AaABAg,5vF4si3hoRA,2020-02-22T13:54:51Z,0,"Such a great idea, burning down your own community."
UgyaMK9aFx6JH7F8oJd4AaABAg,5vF4si3hoRA,2020-01-17T17:43:25Z,0,Diversity is a strength
UgyYGHRwobr4TTsJAgN4AaABAg,5vF4si3hoRA,2019-12-09T09:45:07Z,0,And CNN loving this divide of the nation by throwing more fuel to the fire.
UgwTmkWtbVTJ73lhOdx4AaABAg,5vF4si3hoRA,2019-12-02T02:57:18Z,0,Thank God those people are not in charge of anything in St Louis
Ugy0e3_yDEfBU9OGi9l4AaABAg,5vF4si3hoRA,2019-12-02T02:56:41Z,0,Those uneducated retards are burning down their own City
Ugw90mQDS17-cPw-9MZ4AaABAg,5vF4si3hoRA,2019-11-23T22:27:42Z,1,Is her scull made of metal . Did you hear that thud .
UgwvxcsCzfI8CU1qXLd4AaABAg,5vF4si3hoRA,2019-10-07T05:19:32Z,1,"90% Comments about the rock
10% Comments are about protests"
